review,별점
"스토리만 따라 갔어도 반은 하는 건데...  영화 오리지널을 만들기 위해 이것저것 억지스러운 설정을 가져다 붙힘으로서 원작게임의 스토리와는 다른 사공이 많으니 산으로 간다?를 그대로 실행에 옴긴 작품같다. 일단 원작에서의 퍼즐요소를 영화에 담을수 없다고는 하지만 그냥 지나가면서 깨지는 결계? 이건 좀....  결계를 파해하면서 점점 알아가는 스토리 라인....  그게 원작내 매력이었지만 뜬금 포개연성없는 스토리가 작품의 몰입감을 떨어트림. 원작 내 수위라는 아이콘을 너무 허무하게 날려버리는점, 김성아라는 매력적인 아이콘을 원작과 상관없는 내용으로 변경하고 퇴마록 빰치는 퇴마물로 내용으로 본내용으로 완전 변경 해버린게 원작 내용을 알고 간 관객들에게 비난 받는 이유로 작용한 듯 함. 그리고 좀 내용이 난잡해서 아쉬운듯 하다.",3
모든 부모들을 위해,8
티비판 짜집기,6
어지럼증 멀미만 견딜 수 있다면 최고의 액션영화,10
김윤식의 영화들 중 가장 좋아하는 작품,10
스~즈메! 다이진 커여워~,8
현실의 고통을 겪으면서 이겨 낼수록 꿈에 가까워진다,10
재밌었다. 김다미 연기 굿,8
이것이 멀티버스다,8
흔하고 뻔한 스토리지만 잘만듦. 홍보좀 잘하지..,7
그럭저럭..볼만해요,7
한배탄겁니다,7
나가 봤을땐 ㄹㅇ 명작이여~,10
전작과 비슷하지만 그래도 흥미진진,8
아주 재밌게 보고왔습니다. 바쁘기도하고 안보고있다가 시간나서 보고왔는데 보러가길 잘했습니다,10
신고,10
볼만한 가족영화 안타까운 마블영화,8
하.. 이건 좀 아닌것 같습니다.너무 유치하고 엉망인각본..투자를 받은게 신기합니다 ㅠㅜ,1
크... 연출지렷고,9
요즘 볼거 없었는데 괜찮네요.,10
"돈아까워죽음 멋지고 연기력 탄탄한배우들 데리고 모하는짓,,?",2
어....이게맞아?,7
패밀리맨 리메이크...?,7
그래도 가족이 제일 낫지..,8
개인적으로 보앗을때 잔잔하고 생각없이 보기에 좋은 느낌의 영화였습니다. 스트레스도 많고 힘든 시기인데 그 잔잔함이 맘에 들엇습니다.생각많고 힘드신분들 백색소음같이 보시면 괜찮을것같아요,10
이 영화를 코미디로.분류한 사람  진정 소시오패스임..우울증 불안강박있는 분 관람금지...,2
"OST는 말할 것도 없이 좋았고, 연출도 너무 좋았음. N차 관람할 거임",10
황홀한. 호불호의끝판왕,8
로켓과 헬라의 만남 ♡♡,10
너무 설명이 생략된느낌 갑자기 왜저러지?? 이런 느낌을많이받음,1
대체 왜 젠틀맨이냐고,7
공감이 돼야 말이지....,5
이해하긴 힘드나 안타까운 영화,7
연극은 팀장님이 저녁 먹자셔서 못보고 영화로 보게 되었는데 너무 아름답고도 잔인한 이야기네요,8
150분 너무 길어서 후반부에 집중을 놓쳤지만 좋았습니다,7
장장 2시간짜리 뮤직비디오,4
내가 좋아하는영화 내가좋아했던것을 공유하면서 상대방이 떠올라 외면했던것들을 다시 마주볼수있다,10
재난으로 인한 희생자들을 잊지말고 기억해 나가자는 감동적인 메시지가 담긴 영화.,10
원피스 모르고 봐서 그런가 살짝 지루했음,6
배우들의 연기는 좋은데 스토리가 많이 빈약함어디서 본듯한거 이어 붙인 느낌,5
역대급 코미디 애니 진짜 연속 부활은 상상도 못했다 무대를 뒤짚어 놓으셨다 ㅋㅋㅋㅋ,10
애니 덕후는 앙앙 웁니다… 버릴 장면 1도 없고 다이진은 너무 귀엽고..우리집 고양이 생각나면서 소타의 잘생김이….하….그냥 말모예요..무조건 보세요ㅠㅠ 소타친구도 감동이고 그냥 보세요 돈없으면 연락하세요 내가 대신 예매해줄게요 적극추천함ㄹㅇ 댓알바 아님. 그딴거 필요없이도 평점 잘나옴 이건;!!!!,10
배우님들 보는 재미로 실컷 웃다가 왔어요 기대를 내려놓으면 볼만 하고 괜찮습니다,8
ㅎ으냐캬카라랃노누리니미ㅣ,10
재미와 감동 2배 남녀노소 짱구 누가 싫어할테냐~~,10
마음이뭉클..따뜻..,10
"클리셰 범벅, 발암여주, 개연성없음, 신파까지.. 그치만 애니 영상미랑 사운드는 좋음.",2
언제나 코난 극장판은 최고,10
웅냥웅냥거리는 밥 너무 귀엽다ㅠㅠ 넘 재밌게 잘 봤어요,10
안보면 진짜 인생 절반손해,10
원작을 따라갈순 없지만조이현 배우 보는맛에 시간 보냈어요,6
중반까지만 해도 생각할 여지가 많고 몰입했었다. 그런데 후반부에 미소의 상상과 목걸이 회상부터 개연성이 부족하고 내용을 이해하려 애써야 했다. 그런 와중에도 두 여배우의 연기가 빛났고 꽤 재밌게 봤다.,6
스필버그가 아니였다면 그누구도 주목하지않을 이야기인영화 그러나 배우들의 연기나 연출이 미쳤긴해서 6점드림,6
신고,10
최근 개봉작중 정말 좋았습니다연출이나 연기력이나 최고,10
만왕의주 만주의 주를 영원히 찬양할 지어다,10
보는 내내 고양이만봐도 입꼬리가 안내려오네요 노래도 좋고 너무 재밌게 잘 봤어요,10
영상미가좀 아쉬웟는데기대없이 봐서 그런지 난 쏘쏘,9
전작 생각하면서 재밌게 봤어요,7
신고,7
전작을 뛰어 넘을 수 없다쫄깃한 긴장감,6
오늘 다시 보는데 음주운전 새롬이 땜에감정이 안 산다,1
너무 감동스런 영화. 간만에 눈물이 터졌다.,10
먼가 많이 아쉬움 이성민 배우 좋아요,6
아무 생각 없이 많이 웃고 싶으시면 보세요 !,9
스토리가 낯익다 했더니 리메이크 작품이더군요원작도 재밌게 봤는데 리메이크도 좋았습니다,7
신고,10
최근 개봉한 DC 작품중 꽤 기대감과 흡족함을 가지게 된 작품,8
머이리 영화비 거론하면서 아깝다는 사람들이 많죠...? 그리 큰돈인가요? 그냥 영화로 즐기세요~,10
"왜 6점대의 낮은 평가를 받고 있는지 모르겠어요. '신과 함께' 비슷한 정도의 재미 수준인데, 신과 함께에 있는 신파가 없어서 그런가...너무 저평가돼있어요",9
기대이상이네요. 강추합니다.,10
킬링타임용 간간히 코믹에 터지긴했음,6
개연성이...소재는철학적인 척 해놓고 그냥 외계물이네,1
신고,10
배우들의 연기 하나하나 너무 좋았습니다,9
연출. 영상미. Ost. 작품의도가 좋았던 작품,9
킬링타임 딱 좋음 빵형 좋아요,7
최악...내가 근래5년간 본 영화 중 최악임....일본인이라면 재미있을까 말까 수준임 일본에선 흥행했나? 이건 일본인한테 한국전쟁 영화 애니 만들어놓고 슬퍼해라 감동해라 수준임 최악,1
대세배우 이이경 흥해라~,10
/,10
진짜 레전드 그 자체.. 인생영화임,10
영원히 버려진 올리비아...제 버려진 시간에 비하면 별 한개도 아깝네요~ 평점에 속았어요. 오랜만에 남편과 치영시간이었는데 시간만 아깝네요...평행세계라는 가정이 있으면 원래 세계의 올리비아와 지금 올리비아는 다른 사람인 것 아닌가요?보는 내내 주인공이 아내와 얼굴만 같은 사람과 바람피우는 것 같은 느낌이라 불편해도 결국 원래 세계에서 망가진 관계를 바로잡는 해피앤딩을 기대하며 봤는데 이게 뭐죠?이해도 안 되고 감동도 없네요~원래 세계의 올리비아가 버림 받고 잠 든 모습이 계속 떠올라 마음이 아프네요...평점 처음 남겨봐요... 보고 저처럼 후회하시는 분 있으실까봐요~,2
엄마 역이 하는 멘트들이 하나같이 어이가 없고 공감도 안되고 역겨워서 봐주기 힘들었다. 제길.. 결혼하고 아이까지 있으면 배우자에게 큰 실책이 있는 것도 아니고 배우자에게 충실해야지. 지가 바람난 걸 합리화시키면서 무슨 개소리를 정성스럽게 하고 있냐고 아들한테 이해해달라는 식으로 일말의 양심이라는 게 안보이고 뻔뻔하기 그지없네. 무개념에 무책임하고 배울 게 없는 미성숙한 여자임. 본인이 죄책감 느끼기 싫어 가지고 마치 내 인생 내가 선택한 거 뿐이라는 양 본질을 흐려버리네. 내 꼴리는 대로 사는 것보다 더 큰 상위의 가치라는 게 있는 건데. 지가 바람 상대 못 봐서 우울한 건 중요하고 애들하고 남편 상처 입는 건 안중에도 없지.,4
사류 비디오직행무비의 정석.,2
주 배우들 연기도 좋고 스토리도 괜찮고 평점 보다는 더 줄만한 것 같은데 생각보다 다들 짜게 주시나...처음부터 심장 쫄깃하고 루즈한 전개도 없고  충분히 볼만한 영화 역시 제라드 버틀러 멋있어요,9
"예전에 할머니한테 많이 길러졌는데 너무 슬펐던 영화.. 공시생인데 걱정도 많고 불안한데 정작 할머니 보러 갈 생각은 못 했네. 한 번 찾아 뵈어야 하는데,, 할머니한텐 내가 어떤 존재였을까.",10
결말이 영...분노의 감동지수를 올리네요ㅋ평행 세계니까 원래 세계로 돌아가서 자기 진짜 아내한테 잘 해줘야 해피엔딩이지..새로운 세계의 올리비아랑 연애하더니 둘이 이어지는게 해피엔딩이 맞나요? 패밀리맨의 엔딩이 생각나게 만드는 영화네요..,1
개봉시점 기가 막히네 ㅋㅋ 시점 덕에 2위하나보네 ㅠㅠ배우들이 아깝다 ㅠㅠ,2
기대안했는데 재밌게 잘봤어요ㅎㅎ꼭 보시길ㅎ,10
우리엄마 보고나서 이틀내내 재밌다고 함.ㅋㅋ,10
추모와 위로의 메세지가 담긴 감동적인 영화 입니다. 감독도 친한파로 유명하다고 하는데 더 성공했으면 하는 마음이 드네요.,10
안방에서 보는듯한 편안한 영화,6
간만에 재밌게 봤어요 ㅋ,8
신고,10
speechless 장면 최고,9
신고,9
신고,9
"스토리의 마무리를 사실상 포기하며, 영화적 기법을 사용하지 않은 채 오로지 카메라를 보고 말하는, 위대한 배우의 위대한 연설이 주는 크나큰 감동",10
까?,10
눈과 귀가 굉장히 즐거운 영화입니다.,10
신고,10
이런 영화 그만 좀 만들길,1
우정아니고 사랑같은데,8
나는 왜 이제야 이것을 보게 되었을까..?  이제라도 보게되어 감사할 뿐.. 20년 전의 영화라니 그저 감탄,10
관람객 평점 상위보고 기대했는데 제대로 낚였음. 진짜 알바가 있구나. 액션신만 아니였으면 3점짜리 영화다. 나중에 OTT로 보면 돈 안아까운 정도. 영화비 만오천원 시대에 이 돈주고는 보기 아깝다는 생각이 들었습니다.,5
처음이라 어설플수 있다고 생각합니다 그래도 충분히 볼거리는 많았어요~ 10점 1점중 선택해야 되는곳인가요?ㅋㅋ,10
그럭저럭 봤는데 주문외울때 너무 오글거려요.. 감정선도 이해가 안가고 성인 남주랑 미자 여주 러브라인은 굳이 싶네요.. 마지막엔 여주가 성인이 된 상태로 재회하길 바랬는데 끝까지,6
가볍게웃을수있어서좋았음ㅎ,8
이걸 왜 이제야 봤을까?? 미국도 저런 시절이 있었구나.,10
박감독님 응원합니다만 공과 사는 가려서 평점 드려요 죄송합니다 ㅠ,1
이게 뭐지...?,6
제 생애 처음으로 영화관람평 써봅니다!한마디면 될 것 같아요 꼭보세요!,10
액션신보고 중구형같아서 너무 반가웠어요!,10
실화기반이라서 좋았습니다,7
1편의 재기발랄함이 몽땅 사라져버린 속편. 이정도로 개판일 줄이야. 괜히 봤다,2
매우 재밌게 봤는데 보는내내 뭔가 부족하다는느낌을 살짝 받았어요,9
10점만점이죠 당연히,10
판의 미로처럼 보면 안 될 애들이 봐서 평점이 이런거구나,10
예전에 개콘 때 팬이었는데 박성광~ 응원합니다 잘봤어요!,10
처음 봤을 때의 느낌을 잊을수없는 영화,9
5차원이 제일 신기,10
재밌게 잘봤습니다. 배우들 전부다 너무 현실감넘치는 연기였어요. 특히 아역 동민역맡은 친구 진짜 연기 잘했어요bb,10
너무 재밌게 웃다울다 봤어요,10
어니언 팝콘이랑 잘 어울릴지도ㅋㅋ,10
그냥 최고였음 난 정말 너무 좋았고 너무 울어서 머리가 아팠음. 다시 보러갈거야ㅠㅠ,10
아카데미가 외면한 올해 가장 아카데미스러웠던 영화,8
재밌음. 감동적이고 교훈도 있고 동일본대지진을 기억하고 미래로 나아가자는 메세지가 전달이 잘됨.,10
